GPS time,SatPRN,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Doppler
1713027124418,28,85312.524,369529.139,26556292.117,31.000,33.2,-477.361
1713027124418,32,39642.344,377171.706,26556292.117,13.000,41.1,272.261
1713027124418,6,0.000,0.000,-26559000.000,27.000,33.7,-494.088
1713027124418,5,0.000,0.000,-26559000.000,10.000,43.3,328.713
1713027124418,20,258647.382,277365.360,26556292.117,46.000,29.2,-173.812
1713027124418,19,263448.682,272809.096,26556292.117,53.000,28.1,574.764
1713027124418,21,253767.296,281837.135,26556292.117,19.000,36.7,-720.994
1713027124418,4,0.000,0.000,-26559000.000,53.000,28.1,718.578
1713027124418,60,0.000,0.000,-26559000.000,14.000,39.4,-1.056
1713027124418,44,4670969.948,9167294.692,24485163.442,31.000,32.8,595.745
1713027124418,43,1786613.200,10132386.960,24485163.442,12.000,42.1,-303.439
1713027124418,42,1431909.638,10188566.485,24485163.442,8.000,45.7,-46.562
1713027124418,39,0.000,0.000,-26559000.000,21.000,35.9,-120.995
1713027124418,34,13235.609,379018.245,26556292.117,7.000,46.9,237.272
1713027124418,33,33053.752,377806.115,26556292.117,14.000,39.4,-480.559
1713027124418,21,253767.296,281837.135,26556292.117,11.000,43.2,419.204
1713027124418,16,0.000,0.000,-26559000.000,17.000,37.5,-181.780
1713027124418,14,0.000,0.000,-26559000.000,10.000,44.1,-309.187
1713027124418,13,0.000,0.000,-26559000.000,46.000,29.3,5.483
1713027124418,12,0.000,0.000,-26559000.000,7.000,46.7,478.891
1713027124418,11,0.000,0.000,-26559000.000,9.000,45.0,-75.756
1713027124418,9,0.000,0.000,-26559000.000,27.000,33.3,-271.361
1713027124418,6,0.000,0.000,-26559000.000,24.000,34.6,-239.441
1713027124418,5,0.000,0.000,-26559000.000,11.000,42.4,-11.113
1713027124418,4,0.000,0.000,-26559000.000,27.000,34.2,-540.635
1713027124418,10,0.000,0.000,-26559000.000,11.000,42.4,-392.476
1713027124418,12,0.000,0.000,-26559000.000,19.000,36.5,-259.240
1713027124418,19,263448.682,272809.096,26556292.117,31.000,33.1,-86.355
1713027124418,24,206553.958,318065.203,26556292.117,11.000,42.3,356.412
1713027124418,33,33053.752,377806.115,26556292.117,14.000,40.2,155.246
1713027124418,3,0.000,0.000,-26559000.000,10.000,30.8,-472.568
1713027124418,8,0.000,0.000,-26559000.000,5.000,37.4,201.499
1713027124418,10,0.000,0.000,-26559000.000,14.000,27.5,387.186
1713027124418,27,91748.703,367983.949,26556292.117,6.000,35.6,567.519
1713027124418,28,85312.524,369529.139,26556292.117,18.000,25.7,-476.847
1713027124418,32,39642.344,377171.706,26556292.117,10.000,30.7,272.769
1713027124418,10,0.000,0.000,-26559000.000,6.000,37.2,-392.509
1713027124418,12,0.000,0.000,-26559000.000,6.000,36.7,-259.275
1713027124418,19,263448.682,272809.096,26556292.117,18.000,26.2,-86.399
1713027124418,24,206553.958,318065.203,26556292.117,11.000,29.5,356.594
1713027124418,33,33053.752,377806.115,26556292.117,8.000,33.6,155.219
1713027124418,21,253767.296,281837.135,26556292.117,12.000,28.3,418.899
1713027124418,33,33053.752,377806.115,26556292.117,11.000,28.5,-481.115
1713027124418,34,13235.609,379018.245,26556292.117,11.000,29.3,237.551
1713027124418,39,0.000,0.000,-26559000.000,12.000,28.4,-120.865
1713027124418,42,1431909.638,10188566.485,24485163.442,7.000,34.3,-46.370
1713027124418,43,1786613.200,10132386.960,24485163.442,4.000,38.5,-303.430
1713027124418,21,253767.296,281837.135,26556292.117,4.000,42.0,418.790
1713027124418,33,33053.752,377806.115,26556292.117,5.000,39.8,-480.512
1713027124418,34,13235.609,379018.245,26556292.117,2.000,47.2,237.357
1713027124418,39,0.000,0.000,-26559000.000,6.000,37.3,-121.362
1713027124418,42,1431909.638,10188566.485,24485163.442,2.000,48.6,-46.468
1713027124418,43,1786613.200,10132386.960,24485163.442,5.000,39.1,-303.164
1713027125418,2,0.000,0.000,-26559000.000,17.000,38.5,-475.763
1713027125418,3,0.000,0.000,-26559000.000,19.000,37.5,-474.157
1713027125418,8,0.000,0.000,-26559000.000,8.000,46.3,200.302
1713027125418,10,0.000,0.000,-26559000.000,13.000,41.2,386.958
