GPS time,SatPRN,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Doppler
1713027123418,12,2608747.831,24820577.633,9083712.992,173618008803667.100,47.8,479.075
1713027123418,11,-20267954.053,1773216.213,17071796.149,173618010889918.300,43.4,-75.083
1713027123418,9,-0.000,0.000,-26559000.000,173617993145830.440,37.1,-270.537
1713027123418,6,-0.000,-0.000,-26559000.000,173617993764456.700,32.2,-238.667
1713027123418,5,-0.000,-0.000,-26559000.000,173617994730525.900,43.6,-10.742
1713027123418,2,-0.000,-0.000,-26559000.000,173617993636403.380,31.0,-10.994
1713027123418,4,-0.000,-0.000,-26559000.000,173622203297541.400,24.5,-539.016
1713027123418,10,-0.000,0.000,-26559000.000,173622203781765.250,38.6,-391.170
1713027123418,12,2608747.831,24820577.633,9083712.992,173622205101266.100,38.4,-258.297
1713027123418,19,-3203710.194,-3317539.022,26155509.110,173622205937285.030,32.7,-84.630
1713027123418,24,-2511832.726,-3867883.210,26155509.110,173622201107751.440,40.6,358.006
1713027123418,33,-401955.484,-4594372.205,26155509.110,173622205091850.200,38.1,155.434
1713027123418,3,-0.000,-0.000,-26559000.000,173622205405634.560,33.4,-471.168
1713027123418,8,-0.000,0.000,-26559000.000,173622208300585.840,37.3,202.568
1713027123418,10,-0.000,0.000,-26559000.000,173622206637246.750,24.9,388.039
1713027123418,27,-1115724.903,-4474928.168,26155509.110,173622207275137.660,35.9,568.225
1713027123418,32,-482077.115,-4586657.370,26155509.110,173622207985973.120,28.5,272.195
1713027123418,10,-0.000,0.000,-26559000.000,173622203783674.660,36.5,-391.213
1713027123418,12,2608747.831,24820577.633,9083712.992,173622205103179.970,32.3,-258.905
1713027123418,24,-2511832.726,-3867883.210,26155509.110,173622201109652.440,31.5,359.176
1713027123418,33,-401955.484,-4594372.205,26155509.110,173622205093772.470,32.4,155.611
1713027123418,21,-3085978.138,-3427325.941,26155509.110,173618008919041.880,35.5,419.605
1713027123418,33,-401955.484,-4594372.205,26155509.110,173618007302390.700,33.7,-479.939
1713027123418,34,-160953.755,-4609112.502,26155509.110,173618010599472.750,32.9,238.956
1713027123418,39,-0.000,-0.000,-26559000.000,173617993355581.470,30.5,-120.634
1713027123418,42,1264208.507,8995310.936,-24957296.308,173618010488995.970,31.7,-45.321
1713027123418,43,1577370.210,8945710.995,-24957296.308,173618010008247.560,34.2,-301.253
1713027123418,21,-3085978.138,-3427325.941,26155509.110,173618008917132.840,44.9,419.642
1713027123418,33,-401955.484,-4594372.205,26155509.110,173618007300512.780,36.2,-479.094
1713027123418,34,-160953.755,-4609112.502,26155509.110,173618010597559.160,44.4,237.881
1713027123418,39,-0.000,-0.000,-26559000.000,173617993353670.880,38.1,-120.639
1713027123418,42,1264208.507,8995310.936,-24957296.308,173618010487089.880,45.4,-45.593
1713027123418,43,1577370.210,8945710.995,-24957296.308,173618010006340.280,45.5,-302.341
1713027124418,2,-0.000,-0.000,-26559000.000,173622506306915.780,44.2,-474.694
1713027124418,3,-0.000,-0.000,-26559000.000,173622505196218.000,46.7,-472.975
1713027124418,8,-0.000,0.000,-26559000.000,173622508090488.440,43.2,201.501
1713027124418,10,-0.000,0.000,-26559000.000,173622506426954.470,40.6,387.048
1713027124418,21,-3085978.138,-3427325.941,26155509.110,173622507540065.560,38.8,-316.151
1713027124418,27,-1115724.903,-4474928.168,26155509.110,173622507064677.750,43.5,567.527
1713027124418,28,-1037456.708,-4493718.700,26155509.110,173622505374324.970,33.2,-477.361
1713027124418,32,-482077.115,-4586657.370,26155509.110,173622507775809.160,41.1,272.261
1713027124418,6,-0.000,-0.000,-26559000.000,21442460315358.980,33.7,-494.088
1713027124418,5,-0.000,-0.000,-26559000.000,21442461712523.746,43.3,328.713
1713027124418,20,-3145323.214,-3372946.198,26155509.110,21442461895869.914,29.2,-173.812
1713027124418,19,-3203710.194,-3317539.022,26155509.110,21442459303307.610,28.1,574.764
1713027124418,21,-3085978.138,-3427325.941,26155509.110,21442458916348.400,36.7,-720.994
1713027124418,4,-0.000,-0.000,-26559000.000,21442458334404.164,28.1,718.578
1713027124418,60,-0.000,-0.000,-26559000.000,173618293508428.660,39.4,-1.056
1713027124418,44,4123919.407,8093647.552,-24957296.308,173618306741484.220,32.8,595.745
1713027124418,43,1577370.210,8945710.995,-24957296.308,173618309799119.970,42.1,-303.439
1713027124418,42,1264208.507,8995310.936,-24957296.308,173618310279621.940,45.7,-46.562
1713027124418,39,-0.000,-0.000,-26559000.000,173618293146267.380,35.9,-120.995
1713027124418,34,-160953.755,-4609112.502,26155509.110,173618310389805.530,46.9,237.272
1713027124418,33,-401955.484,-4594372.205,26155509.110,173618307093459.750,39.4,-480.559
1713027124418,21,-3085978.138,-3427325.941,26155509.110,173618308709189.400,43.2,419.204
1713027124418,16,8943895.105,23299643.334,-9083713.000,173618292939360.220,37.5,-181.780
1713027124418,14,8945710.972,24578138.896,-4611922.009,173618309602101.440,44.1,-309.187
1713027124418,13,-1157384.683,-13228967.466,-23000768.715,173618292571180.620,29.3,5.483
1713027124418,12,2608747.831,24820577.633,9083712.992,173618308595647.200,46.7,478.891
1713027124418,11,-20267954.053,1773216.213,17071796.149,173618310682451.220,45.0,-75.756
1713027124418,9,-0.000,0.000,-26559000.000,173618292938551.970,33.3,-271.361
1713027124418,6,-0.000,-0.000,-26559000.000,173618293557136.250,34.6,-239.441
1713027124418,5,-0.000,-0.000,-26559000.000,173618294522994.400,42.4,-11.113
1713027124418,4,-0.000,-0.000,-26559000.000,173622503090540.220,34.2,-540.635
1713027124418,10,-0.000,0.000,-26559000.000,173622503574612.100,42.4,-392.476
1713027124418,12,2608747.831,24820577.633,9083712.992,173622504893985.530,36.5,-259.240
1713027124418,19,-3203710.194,-3317539.022,26155509.110,173622505729817.380,33.1,-86.355
1713027124418,24,-2511832.726,-3867883.210,26155509.110,173622500899855.700,42.3,356.412
1713027124418,33,-401955.484,-4594372.205,26155509.110,173622504884159.220,40.2,155.246
1713027124418,3,-0.000,-0.000,-26559000.000,173622505198563.280,30.8,-472.568
1713027124418,8,-0.000,0.000,-26559000.000,173622508092842.700,37.4,201.499
1713027124418,10,-0.000,0.000,-26559000.000,173622506429311.750,27.5,387.186
1713027124418,27,-1115724.903,-4474928.168,26155509.110,173622507067028.440,35.6,567.519
1713027124418,28,-1037456.708,-4493718.700,26155509.110,173622505376685.250,25.7,-476.847
1713027124418,32,-482077.115,-4586657.370,26155509.110,173622507778160.720,30.7,272.769
1713027124418,10,-0.000,0.000,-26559000.000,173622503576526.280,37.2,-392.509
1713027124418,12,2608747.831,24820577.633,9083712.992,173622504895897.600,36.7,-259.275
1713027124418,19,-3203710.194,-3317539.022,26155509.110,173622505731733.340,26.2,-86.399
1713027124418,24,-2511832.726,-3867883.210,26155509.110,173622500901750.700,29.5,356.594
1713027124418,33,-401955.484,-4594372.205,26155509.110,173622504886071.880,33.6,155.219
1713027124418,21,-3085978.138,-3427325.941,26155509.110,173618308711079.000,28.3,418.899
1713027124418,33,-401955.484,-4594372.205,26155509.110,173618307095326.250,28.5,-481.115
1713027124418,34,-160953.755,-4609112.502,26155509.110,173618310391692.440,29.3,237.551
1713027124418,39,-0.000,-0.000,-26559000.000,173618293148164.200,28.4,-120.865
1713027124418,42,1264208.507,8995310.936,-24957296.308,173618310281498.900,34.3,-46.370
1713027124418,43,1577370.210,8945710.995,-24957296.308,173618309801010.160,38.5,-303.430
1713027124418,21,-3085978.138,-3427325.941,26155509.110,173618308709169.300,42.0,418.790
1713027124418,33,-401955.484,-4594372.205,26155509.110,173618307093424.700,39.8,-480.512
1713027124418,34,-160953.755,-4609112.502,26155509.110,173618310389781.560,47.2,237.357
1713027124418,39,-0.000,-0.000,-26559000.000,173618293146251.220,37.3,-121.362
1713027124418,42,1264208.507,8995310.936,-24957296.308,173618310279595.800,48.6,-46.468
1713027124418,43,1577370.210,8945710.995,-24957296.308,173618309799098.060,39.1,-303.164
1713027125418,2,-0.000,-0.000,-26559000.000,173622806099856.120,38.5,-475.763
1713027125418,3,-0.000,-0.000,-26559000.000,173622804989152.340,37.5,-474.157
1713027125418,8,-0.000,0.000,-26559000.000,173622807882745.840,46.3,200.302
1713027125418,10,-0.000,0.000,-26559000.000,173622806219033.800,41.2,386.958
1713027125418,21,-3085978.138,-3427325.941,26155509.110,173622807332838.380,41.7,-317.619
1713027125418,27,-1115724.903,-4474928.168,26155509.110,173622806856567.380,40.6,566.426
1713027125418,28,-1037456.708,-4493718.700,26155509.110,173622805167253.340,31.9,-479.531
1713027125418,32,-482077.115,-4586657.370,26155509.110,173622807567993.440,43.6,271.745
1713027125418,6,-0.000,-0.000,-26559000.000,21442760108318.530,34.1,-495.551
1713027125418,5,-0.000,-0.000,-26559000.000,21442761504645.977,43.2,327.863
1713027125418,20,-3145323.214,-3372946.198,26155509.110,21442761688495.797,27.2,-173.793
1713027125418,19,-3203710.194,-3317539.022,26155509.110,21442759095112.660,29.3,574.493
1713027125418,21,-3085978.138,-3427325.941,26155509.110,21442758709533.094,35.8,-722.149
1713027125418,4,-0.000,-0.000,-26559000.000,21442758126233.504,28.6,716.813
1713027125418,60,-0.000,-0.000,-26559000.000,173618593300901.660,39.4,-2.477
1713027125418,43,1577370.210,8945710.995,-24957296.308,173618609591886.120,44.7,-304.622
1713027125418,42,1264208.507,8995310.936,-24957296.308,173618610072125.470,42.5,-47.771
1713027125418,39,-0.000,-0.000,-26559000.000,173618592938846.780,32.3,-122.838
1713027125418,34,-160953.755,-4609112.502,26155509.110,173618610182029.100,44.3,236.441
1713027125418,33,-401955.484,-4594372.205,26155509.110,173618606886408.220,37.8,-482.099
1713027125418,21,-3085978.138,-3427325.941,26155509.110,173618608501232.470,43.5,418.531
1713027125418,16,8943895.105,23299643.334,-9083713.000,173618592732007.100,30.7,-183.647
1713027125418,14,8945710.972,24578138.896,-4611922.009,173618609394869.750,46.6,-310.495
1713027125418,13,-1157384.683,-13228967.466,-23000768.715,173618592363626.600,29.3,5.243
1713027125418,12,2608747.831,24820577.633,9083712.992,173618608387628.250,44.4,478.239
1713027125418,11,-20267954.053,1773216.213,17071796.149,173618610474988.060,43.3,-76.709
1713027125418,9,-0.000,0.000,-26559000.000,173618592731286.400,36.4,-271.109
1713027125418,6,-0.000,-0.000,-26559000.000,173618593349839.750,33.1,-239.771
1713027125418,5,-0.000,-0.000,-26559000.000,173618594315468.880,41.0,-12.348
1713027125418,4,-0.000,-0.000,-26559000.000,173622802883537.250,35.1,-542.155
1713027125418,10,-0.000,0.000,-26559000.000,173622803367461.300,36.2,-394.083
1713027125418,12,2608747.831,24820577.633,9083712.992,173622804686703.120,37.7,-260.346
1713027125418,19,-3203710.194,-3317539.022,26155509.110,173622805522365.000,32.8,-86.934
1713027125418,24,-2511832.726,-3867883.210,26155509.110,173622800691956.940,41.3,354.889
1713027125418,33,-401955.484,-4594372.205,26155509.110,173622804676464.940,40.4,154.650
